selected_packet,valid,invalid,avg_degree
0,0,1,83.88
0,0,2,42.96
0,0,3,22.87
0,0,4,11.51
0,0,5,6.83
0,0,6,4.06
0,0,7,2.94
0,0,8,1.9
0,0,9,1.59
0,0,10,1.35
0,0,11,1.19
0,0,12,1.14
0,0,13,1.03
0,0,14,1.05
0,0,15,1.01
0,0,16,1.02
0,0,17,1.02
0,0,18,1.01
0,0,19,1.0
0,1,0,92.71
0,1,1,45.66
0,1,2,23.81
0,1,3,12.02
0,1,4,7.5
0,1,5,4.51
0,1,6,2.68
0,1,7,1.78
0,1,8,1.44
0,1,9,1.19
0,1,10,1.18
0,1,11,1.08
0,1,12,1.05
0,1,13,1.02
0,1,14,1.01
0,1,15,1.02
0,1,16,1.0
0,1,17,1.01
0,1,18,1.0
0,1,19,1.0
0,2,0,50.32
0,2,1,24.09
0,2,2,13.89
0,2,3,8.73
0,2,4,4.26
0,2,5,3.17
0,2,6,2.07
0,2,7,1.5
0,2,8,1.24
0,2,9,1.18
0,2,10,1.08
0,2,11,1.07
0,2,12,1.05
0,2,13,1.05
0,2,14,1.0
0,2,15,1.0
0,2,16,1.0
0,2,17,1.0
0,2,18,1.0
0,2,19,1.0
0,3,0,30.88
0,3,1,14.13
0,3,2,7.48
0,3,3,4.06
0,3,4,2.58
0,3,5,1.89
0,3,6,1.47
0,3,7,1.27
0,3,8,1.14
0,3,9,1.08
0,3,10,1.02
0,3,11,1.04
0,3,12,1.03
0,3,13,1.0
0,3,14,1.0
0,3,15,1.0
0,3,16,1.0
0,3,17,1.0
0,3,18,1.0
0,3,19,1.0
0,4,0,19.38
0,4,1,7.87
0,4,2,4.01
0,4,3,2.67
0,4,4,1.97
0,4,5,1.6
0,4,6,1.28
0,4,7,1.13
0,4,8,1.08
0,4,9,1.05
0,4,10,1.01
0,4,11,1.0
0,4,12,1.01
0,4,13,1.02
0,4,14,1.0
0,4,15,1.0
0,4,16,1.0
0,4,17,1.0
0,4,18,1.0
0,4,19,1.0
0,5,0,12.29
0,5,1,5.27
0,5,2,2.9
0,5,3,2.01
0,5,4,1.43
0,5,5,1.36
0,5,6,1.14
0,5,7,1.07
0,5,8,1.03
0,5,9,1.04
0,5,10,1.01
0,5,11,1.0
0,5,12,1.0
0,5,13,1.01
0,5,14,1.01
0,5,15,1.0
0,5,16,1.0
0,5,17,1.0
0,5,18,1.0
0,5,19,1.0
0,6,0,9.67
0,6,1,3.71
0,6,2,2.2
0,6,3,1.57
0,6,4,1.24
0,6,5,1.13
0,6,6,1.13
0,6,7,1.05
0,6,8,1.03
0,6,9,1.0
0,6,10,1.0
0,6,11,1.01
0,6,12,1.01
0,6,13,1.0
0,6,14,1.0
0,6,15,1.0
0,6,16,1.0
0,6,17,1.0
0,6,18,1.0
0,6,19,1.0
0,7,0,7.53
0,7,1,2.09
0,7,2,1.75
0,7,3,1.46
0,7,4,1.14
0,7,5,1.07
0,7,6,1.07
0,7,7,1.07
0,7,8,1.01
0,7,9,1.01
0,7,10,1.01
0,7,11,1.0
0,7,12,1.0
0,7,13,1.0
0,7,14,1.0
0,7,15,1.0
0,7,16,1.0
0,7,17,1.0
0,7,18,1.0
0,7,19,1.0
0,8,0,6.29
0,8,1,1.82
0,8,2,1.45
0,8,3,1.22
0,8,4,1.14
0,8,5,1.1
0,8,6,1.02
0,8,7,1.01
0,8,8,1.02
0,8,9,1.02
0,8,10,1.0
0,8,11,1.01
0,8,12,1.0
0,8,13,1.0
0,8,14,1.0
0,8,15,1.0
0,8,16,1.0
0,8,17,1.0
0,8,18,1.0
0,8,19,1.0
0,9,0,5.57
0,9,1,1.53
0,9,2,1.29
0,9,3,1.05
0,9,4,1.03
0,9,5,1.02
0,9,6,1.0
0,9,7,1.01
0,9,8,1.0
0,9,9,1.01
0,9,10,1.0
0,9,11,1.0
0,9,12,1.0
0,9,13,1.0
0,9,14,1.0
0,9,15,1.0
0,9,16,1.0
0,9,17,1.0
0,9,18,1.0
0,9,19,1.0
0,10,0,5.28
0,10,1,1.28
0,10,2,1.09
0,10,3,1.13
0,10,4,1.04
0,10,5,1.03
0,10,6,1.0
0,10,7,1.01
0,10,8,1.0
0,10,9,1.0
0,10,10,1.0
0,10,11,1.0
0,10,12,1.0
0,10,13,1.0
0,10,14,1.0
0,10,15,1.0
0,10,16,1.0
0,10,17,1.0
0,10,18,1.0
0,10,19,1.0
0,11,0,4.92
0,11,1,1.12
0,11,2,1.06
0,11,3,1.03
0,11,4,1.04
0,11,5,1.01
0,11,6,1.01
0,11,7,1.0
0,11,8,1.0
0,11,9,1.0
0,11,10,1.0
0,11,11,1.0
0,11,12,1.0
0,11,13,1.0
0,11,14,1.0
0,11,15,1.0
0,11,16,1.0
0,11,17,1.0
0,11,18,1.0
0,11,19,1.0
0,12,0,4.8
0,12,1,1.08
0,12,2,1.04
0,12,3,1.04
0,12,4,1.01
0,12,5,1.0
0,12,6,1.02
0,12,7,1.0
0,12,8,1.0
0,12,9,1.0
0,12,10,1.0
0,12,11,1.0
0,12,12,1.0
0,12,13,1.0
0,12,14,1.0
0,12,15,1.0
0,12,16,1.0
0,12,17,1.0
0,12,18,1.0
0,12,19,1.0
0,13,0,4.78
0,13,1,1.12
0,13,2,1.01
0,13,3,1.01
0,13,4,1.0
0,13,5,1.0
0,13,6,1.0
0,13,7,1.0
0,13,8,1.0
0,13,9,1.0
0,13,10,1.0
0,13,11,1.0
0,13,12,1.0
0,13,13,1.0
0,13,14,1.0
0,13,15,1.0
0,13,16,1.0
0,13,17,1.0
0,13,18,1.0
0,13,19,1.0
0,14,0,4.56
0,14,1,1.03
0,14,2,1.02
0,14,3,1.03
0,14,4,1.01
0,14,5,1.01
0,14,6,1.0
0,14,7,1.01
0,14,8,1.0
0,14,9,1.0
0,14,10,1.0
0,14,11,1.0
0,14,12,1.0
0,14,13,1.0
0,14,14,1.0
0,14,15,1.0
0,14,16,1.0
0,14,17,1.0
0,14,18,1.0
0,14,19,1.0
0,15,0,4.6
0,15,1,1.03
0,15,2,1.01
0,15,3,1.0
0,15,4,1.0
0,15,5,1.0
0,15,6,1.0
0,15,7,1.0
0,15,8,1.0
0,15,9,1.0
0,15,10,1.0
0,15,11,1.0
0,15,12,1.0
0,15,13,1.0
0,15,14,1.0
0,15,15,1.0
0,15,16,1.0
0,15,17,1.0
0,15,18,1.0
0,15,19,1.0
0,16,0,4.48
0,16,1,1.03
0,16,2,1.0
0,16,3,1.01
0,16,4,1.0
0,16,5,1.0
0,16,6,1.0
0,16,7,1.0
0,16,8,1.0
0,16,9,1.0
0,16,10,1.0
0,16,11,1.0
0,16,12,1.0
0,16,13,1.0
0,16,14,1.0
0,16,15,1.0
0,16,16,1.0
0,16,17,1.0
0,16,18,1.0
0,16,19,1.0
0,17,0,4.48
0,17,1,1.01
0,17,2,1.01
0,17,3,1.01
0,17,4,1.0
0,17,5,1.0
0,17,6,1.0
0,17,7,1.0
0,17,8,1.0
0,17,9,1.0
0,17,10,1.0
0,17,11,1.0
0,17,12,1.0
0,17,13,1.0
0,17,14,1.0
0,17,15,1.0
0,17,16,1.0
0,17,17,1.0
0,17,18,1.0
0,17,19,1.0
0,18,0,4.48
0,18,1,1.01
0,18,2,1.0
0,18,3,1.0
0,18,4,1.01
0,18,5,1.0
0,18,6,1.0
0,18,7,1.0
0,18,8,1.0
0,18,9,1.0
0,18,10,1.0
0,18,11,1.0
0,18,12,1.0
0,18,13,1.0
0,18,14,1.0
0,18,15,1.0
0,18,16,1.0
0,18,17,1.0
0,18,18,1.0
0,18,19,1.0
0,19,0,4.37
0,19,1,1.01
0,19,2,1.0
0,19,3,1.01
0,19,4,1.0
0,19,5,1.0
0,19,6,1.0
0,19,7,1.0
0,19,8,1.0
0,19,9,1.0
0,19,10,1.0
0,19,11,1.0
0,19,12,1.0
0,19,13,1.0
0,19,14,1.0
0,19,15,1.0
0,19,16,1.0
0,19,17,1.0
0,19,18,1.0
0,19,19,1.0
1,0,1,81.82
1,0,2,41.99
1,0,3,22.59
1,0,4,12.27
1,0,5,7.59
1,0,6,4.22
1,0,7,2.6
1,0,8,2.18
1,0,9,1.62
1,0,10,1.29
1,0,11,1.16
1,0,12,1.17
1,0,13,1.06
1,0,14,1.0
1,0,15,1.02
1,0,16,1.01
1,0,17,1.0
1,0,18,1.0
1,0,19,1.0
1,1,0,94.44
1,1,1,45.64
1,1,2,22.96
1,1,3,11.95
1,1,4,6.75
1,1,5,4.37
1,1,6,2.66
1,1,7,1.89
1,1,8,1.55
1,1,9,1.34
1,1,10,1.16
1,1,11,1.04
1,1,12,1.06
1,1,13,1.1
1,1,14,1.03
1,1,15,1.0
1,1,16,1.0
1,1,17,1.0
1,1,18,1.0
1,1,19,1.0
1,2,0,52.71
1,2,1,24.98
1,2,2,13.65
1,2,3,7.63
1,2,4,4.23
1,2,5,2.51
1,2,6,1.95
1,2,7,1.56
1,2,8,1.26
1,2,9,1.21
1,2,10,1.12
1,2,11,1.03
1,2,12,1.1
1,2,13,1.01
1,2,14,1.02
1,2,15,1.0
1,2,16,1.0
1,2,17,1.0
1,2,18,1.0
1,2,19,1.0
1,3,0,30.19
1,3,1,13.05
1,3,2,6.98
1,3,3,4.59
1,3,4,2.8
1,3,5,2.22
1,3,6,1.59
1,3,7,1.3
1,3,8,1.17
1,3,9,1.09
1,3,10,1.12
1,3,11,1.03
1,3,12,1.04
1,3,13,1.01
1,3,14,1.01
1,3,15,1.0
1,3,16,1.0
1,3,17,1.0
1,3,18,1.0
1,3,19,1.01
1,4,0,19.25
1,4,1,8.76
1,4,2,4.44
1,4,3,3.24
1,4,4,1.92
1,4,5,1.49
1,4,6,1.24
1,4,7,1.2
1,4,8,1.04
1,4,9,1.04
1,4,10,1.03
1,4,11,1.01
1,4,12,1.01
1,4,13,1.02
1,4,14,1.0
1,4,15,1.01
1,4,16,1.0
1,4,17,1.0
1,4,18,1.0
1,4,19,1.0
1,5,0,13.78
1,5,1,4.65
1,5,2,3.14
1,5,3,2.29
1,5,4,1.51
1,5,5,1.25
1,5,6,1.18
1,5,7,1.13
1,5,8,1.02
1,5,9,1.02
1,5,10,1.0
1,5,11,1.01
1,5,12,1.02
1,5,13,1.0
1,5,14,1.0
1,5,15,1.0
1,5,16,1.0
1,5,17,1.0
1,5,18,1.0
1,5,19,1.0
1,6,0,9.66
1,6,1,3.9
1,6,2,2.02
1,6,3,1.44
1,6,4,1.28
1,6,5,1.16
1,6,6,1.16
1,6,7,1.03
1,6,8,1.03
1,6,9,1.03
1,6,10,1.01
1,6,11,1.01
1,6,12,1.01
1,6,13,1.0
1,6,14,1.0
1,6,15,1.01
1,6,16,1.0
1,6,17,1.0
1,6,18,1.0
1,6,19,1.0
1,7,0,7.06
1,7,1,2.28
1,7,2,1.83
1,7,3,1.36
1,7,4,1.22
1,7,5,1.14
1,7,6,1.03
1,7,7,1.02
1,7,8,1.03
1,7,9,1.01
1,7,10,1.0
1,7,11,1.0
1,7,12,1.0
1,7,13,1.0
1,7,14,1.0
1,7,15,1.0
1,7,16,1.0
1,7,17,1.0
1,7,18,1.0
1,7,19,1.0
1,8,0,6.25
1,8,1,1.73
1,8,2,1.41
1,8,3,1.11
1,8,4,1.22
1,8,5,1.08
1,8,6,1.07
1,8,7,1.02
1,8,8,1.0
1,8,9,1.02
1,8,10,1.0
1,8,11,1.01
1,8,12,1.0
1,8,13,1.01
1,8,14,1.0
1,8,15,1.0
1,8,16,1.0
1,8,17,1.0
1,8,18,1.0
1,8,19,1.0
1,9,0,5.67
1,9,1,1.44
1,9,2,1.24
1,9,3,1.13
1,9,4,1.06
1,9,5,1.0
1,9,6,1.04
1,9,7,1.0
1,9,8,1.01
1,9,9,1.0
1,9,10,1.0
1,9,11,1.0
1,9,12,1.0
1,9,13,1.0
1,9,14,1.0
1,9,15,1.0
1,9,16,1.0
1,9,17,1.0
1,9,18,1.0
1,9,19,1.0
1,10,0,5.12
1,10,1,1.18
1,10,2,1.14
1,10,3,1.06
1,10,4,1.04
1,10,5,1.03
1,10,6,1.0
1,10,7,1.0
1,10,8,1.0
1,10,9,1.01
1,10,10,1.0
1,10,11,1.0
1,10,12,1.0
1,10,13,1.0
1,10,14,1.0
1,10,15,1.0
1,10,16,1.0
1,10,17,1.0
1,10,18,1.0
1,10,19,1.0
1,11,0,4.88
1,11,1,1.18
1,11,2,1.11
1,11,3,1.02
1,11,4,1.01
1,11,5,1.0
1,11,6,1.02
1,11,7,1.0
1,11,8,1.0
1,11,9,1.01
1,11,10,1.0
1,11,11,1.0
1,11,12,1.0
1,11,13,1.0
1,11,14,1.0
1,11,15,1.0
1,11,16,1.0
1,11,17,1.0
1,11,18,1.0
1,11,19,1.0
1,12,0,4.76
1,12,1,1.1
1,12,2,1.03
1,12,3,1.01
1,12,4,1.01
1,12,5,1.0
1,12,6,1.02
1,12,7,1.0
