filename,num_chunks,num_rows,num_success,run
Dorn0_RU10.fasta,68,68,2,0
Dorn1_RU10.fasta,68,68,29,0
Dorn2_RU10.fasta,68,68,34,0
Dorn3_RU10.fasta,68,68,36,0
Dorn4_RU10.fasta,68,68,43,0
Dorn5_RU10.fasta,68,68,40,0
Dorn6_RU10.fasta,68,68,37,0
Dorn7_RU10.fasta,68,68,36,0
Dorn8_RU10.fasta,68,68,36,0
Dorn9_RU10.fasta,68,68,34,0
Dorn10_RU10.fasta,68,68,38,0
Dorn11_RU10.fasta,68,68,35,0
Dorn12_RU10.fasta,68,68,34,0
Dorn13_RU10.fasta,68,68,23,0
Dorn14_RU10.fasta,68,68,24,0
Dorn15_RU10.fasta,68,68,5,0
Dorn16_RU10.fasta,68,68,32,0
Dorn17_RU10.fasta,68,68,42,0
Dorn18_RU10.fasta,68,68,38,0
Dorn19_RU10.fasta,68,68,41,0
Dorn20_RU10.fasta,68,68,25,0
Dorn21_RU10.fasta,68,68,33,0
Dorn22_RU10.fasta,68,68,28,0
Dorn23_RU10.fasta,68,68,30,0
Dorn24_RU10.fasta,68,68,41,0
Dorn25_RU10.fasta,68,68,40,0
Dorn26_RU10.fasta,68,68,38,0
Dorn27_RU10.fasta,68,68,37,0
Dorn28_RU10.fasta,68,68,37,0
Dorn29_RU10.fasta,68,68,35,0
Dorn30_RU10.fasta,68,68,34,0
Dorn31_RU10.fasta,68,68,31,0
Dorn32_RU10.fasta,68,68,38,0
Dorn33_RU10.fasta,68,68,40,0
Dorn34_RU10.fasta,68,68,40,0
Dorn35_RU10.fasta,68,68,27,0
Dorn36_RU10.fasta,68,68,25,0
Dorn37_RU10.fasta,68,68,38,0
Dorn38_RU10.fasta,68,68,33,0
Dorn39_RU10.fasta,68,68,33,0
Dorn40_RU10.fasta,68,68,38,0
Dorn41_RU10.fasta,68,68,36,0
Dorn42_RU10.fasta,68,68,28,0
Dorn43_RU10.fasta,68,68,32,0
Dorn44_RU10.fasta,68,68,35,0
Dorn45_RU10.fasta,68,68,32,0
Dorn46_RU10.fasta,68,68,10,0
Dorn47_RU10.fasta,68,68,29,0
Dorn48_RU10.fasta,68,68,44,0
Dorn49_RU10.fasta,68,68,37,0
Dorn50_RU10.fasta,68,68,33,0
Dorn51_RU10.fasta,68,68,36,0
Dorn52_RU10.fasta,68,68,38,0
Dorn53_RU10.fasta,68,68,35,0
Dorn54_RU10.fasta,68,68,40,0
Dorn55_RU10.fasta,68,68,31,0
Dorn56_RU10.fasta,68,68,40,0
Dorn57_RU10.fasta,68,68,32,0
Dorn58_RU10.fasta,68,68,2,0
Dorn59_RU10.fasta,68,68,2,0
Dorn60_RU10.fasta,68,68,32,0
Dorn61_RU10.fasta,68,68,38,0
Dorn62_RU10.fasta,68,68,29,0
Dorn63_RU10.fasta,68,68,29,0
Dorn64_RU10.fasta,68,68,40,0
Dorn65_RU10.fasta,68,68,33,0
Dorn66_RU10.fasta,68,68,30,0
Dorn67_RU10.fasta,68,68,37,0
Dorn68_RU10.fasta,68,68,37,0
Dorn69_RU10.fasta,68,68,30,0
Dorn70_RU10.fasta,68,68,2,0
Dorn71_RU10.fasta,68,68,37,0
Dorn72_RU10.fasta,68,68,2,0
Dorn73_RU10.fasta,68,68,35,0
Dorn74_RU10.fasta,68,68,34,0
Dorn75_RU10.fasta,68,68,37,0
Dorn76_RU10.fasta,68,68,35,0
Dorn77_RU10.fasta,68,68,32,0
Dorn78_RU10.fasta,68,68,38,0
Dorn79_RU10.fasta,68,68,43,0
Dorn80_RU10.fasta,68,68,37,0
Dorn81_RU10.fasta,68,68,2,0
Dorn82_RU10.fasta,68,68,28,0
Dorn83_RU10.fasta,68,68,38,0
Dorn84_RU10.fasta,68,68,29,0
Dorn85_RU10.fasta,68,68,35,0
Dorn86_RU10.fasta,68,68,29,0
Dorn87_RU10.fasta,68,68,41,0
Dorn88_RU10.fasta,68,68,35,0
Dorn89_RU10.fasta,68,68,37,0
Dorn90_RU10.fasta,68,68,34,0
Dorn91_RU10.fasta,68,68,33,0
Dorn92_RU10.fasta,68,68,41,0
Dorn93_RU10.fasta,68,68,35,0
Dorn94_RU10.fasta,68,68,35,0
Dorn95_RU10.fasta,68,68,35,0
Dorn96_RU10.fasta,68,68,35,0
Dorn97_RU10.fasta,68,68,30,0
Dorn98_RU10.fasta,68,68,37,0
Dorn99_RU10.fasta,68,68,37,0
