filename,num_chunks,num_rows,num_success,run
box.bmp0__RU10.fasta,2370,2370,1212,0
box.bmp0__RU10.fasta,2370,2371,1187,0
box.bmp0__RU10.fasta,2370,2372,2100,0
box.bmp0__RU10.fasta,2370,2373,2202,0
box.bmp0__RU10.fasta,2370,2374,2305,0
box.bmp0__RU10.fasta,2370,2375,2077,0
box.bmp0__RU10.fasta,2370,2376,2295,0
box.bmp0__RU10.fasta,2370,2377,2355,0
box.bmp0__RU10.fasta,2370,2378,2374,0
box.bmp0__RU10.fasta,2370,2379,2372,0
box.bmp1__RU10.fasta,2370,2370,1185,0
box.bmp1__RU10.fasta,2370,2371,1778,0
box.bmp1__RU10.fasta,2370,2372,1780,0
box.bmp1__RU10.fasta,2370,2373,1767,0
box.bmp1__RU10.fasta,2370,2374,1803,0
box.bmp1__RU10.fasta,2370,2375,2219,0
box.bmp1__RU10.fasta,2370,2376,2207,0
box.bmp1__RU10.fasta,2370,2377,2307,0
box.bmp1__RU10.fasta,2370,2378,2347,0
box.bmp1__RU10.fasta,2370,2379,2378,0
box.bmp2__RU10.fasta,2370,2370,1219,0
box.bmp2__RU10.fasta,2370,2371,1188,0
box.bmp2__RU10.fasta,2370,2372,1762,0
box.bmp2__RU10.fasta,2370,2373,2080,0
box.bmp2__RU10.fasta,2370,2374,2284,0
box.bmp2__RU10.fasta,2370,2375,2219,0
box.bmp2__RU10.fasta,2370,2376,2337,0
box.bmp2__RU10.fasta,2370,2377,2358,0
box.bmp2__RU10.fasta,2370,2378,2375,0
box.bmp2__RU10.fasta,2370,2379,2376,0
box.bmp3__RU10.fasta,2370,2370,2,0
box.bmp3__RU10.fasta,2370,2371,1204,0
box.bmp3__RU10.fasta,2370,2372,1769,0
box.bmp3__RU10.fasta,2370,2373,1793,0
box.bmp3__RU10.fasta,2370,2374,2217,0
box.bmp3__RU10.fasta,2370,2375,2349,0
box.bmp3__RU10.fasta,2370,2376,2344,0
box.bmp3__RU10.fasta,2370,2377,2301,0
box.bmp3__RU10.fasta,2370,2378,2360,0
box.bmp3__RU10.fasta,2370,2379,2378,0
box.bmp4__RU10.fasta,2370,2370,2,0
box.bmp4__RU10.fasta,2370,2371,1797,0
box.bmp4__RU10.fasta,2370,2372,1230,0
box.bmp4__RU10.fasta,2370,2373,1782,0
box.bmp4__RU10.fasta,2370,2374,2301,0
box.bmp4__RU10.fasta,2370,2375,2069,0
box.bmp4__RU10.fasta,2370,2376,2365,0
box.bmp4__RU10.fasta,2370,2377,2240,0
box.bmp4__RU10.fasta,2370,2378,2374,0
box.bmp4__RU10.fasta,2370,2379,2379,0
box.bmp5__RU10.fasta,2370,2370,11,0
box.bmp5__RU10.fasta,2370,2371,1183,0
box.bmp5__RU10.fasta,2370,2372,6,0
box.bmp5__RU10.fasta,2370,2373,2076,0
box.bmp5__RU10.fasta,2370,2374,2224,0
box.bmp5__RU10.fasta,2370,2375,2340,0
box.bmp5__RU10.fasta,2370,2376,2349,0
box.bmp5__RU10.fasta,2370,2377,2370,0
box.bmp5__RU10.fasta,2370,2378,2375,0
box.bmp5__RU10.fasta,2370,2379,2370,0
box.bmp6__RU10.fasta,2370,2370,1187,0
box.bmp6__RU10.fasta,2370,2371,1190,0
box.bmp6__RU10.fasta,2370,2372,1178,0
box.bmp6__RU10.fasta,2370,2373,2058,0
box.bmp6__RU10.fasta,2370,2374,1793,0
box.bmp6__RU10.fasta,2370,2375,2293,0
box.bmp6__RU10.fasta,2370,2376,2301,0
box.bmp6__RU10.fasta,2370,2377,2359,0
box.bmp6__RU10.fasta,2370,2378,2337,0
box.bmp6__RU10.fasta,2370,2379,2376,0
box.bmp7__RU10.fasta,2370,2370,7,0
box.bmp7__RU10.fasta,2370,2371,1764,0
box.bmp7__RU10.fasta,2370,2372,2066,0
box.bmp7__RU10.fasta,2370,2373,2235,0
box.bmp7__RU10.fasta,2370,2374,2091,0
box.bmp7__RU10.fasta,2370,2375,2301,0
box.bmp7__RU10.fasta,2370,2376,2352,0
box.bmp7__RU10.fasta,2370,2377,2361,0
box.bmp7__RU10.fasta,2370,2378,2372,0
box.bmp7__RU10.fasta,2370,2379,2378,0
box.bmp8__RU10.fasta,2370,2370,1215,0
box.bmp8__RU10.fasta,2370,2371,1813,0
box.bmp8__RU10.fasta,2370,2372,58,0
box.bmp8__RU10.fasta,2370,2373,1770,0
box.bmp8__RU10.fasta,2370,2374,2236,0
box.bmp8__RU10.fasta,2370,2375,2092,0
box.bmp8__RU10.fasta,2370,2376,2341,0
